Device Name (ID),Alarm Type,Fleet,Alarm Status,Begin Time,Start position,End Time,End position,Start details,End Details,Start Speed,End Speed,Reporting time,Alarm duration,Re-upload,Process User,Process Time,Process memo,Remark
BVR-756_EVO4(6063460566),Storage Error,RENTAEQUIPOS,Alarm End,21/01/2026 23:25:38,"-76.972374,-12.069054",21/01/2026 23:25:38,"-76.972374,-12.069054",NO:sd2 ; State:L1_Disk failure ; satellites:17,,7.28 km/h,7.28 km/h,21/01/2026 23:25:40,0 s,No,,,,Pending
BPD-940_EVO4(9053067125),Storage Error,MULT. TRNSP. CAJAMARCA,Alarm End,21/01/2026 23:25:36,"-78.286446,-9.514049",21/01/2026 23:25:36,"-78.286446,-9.514049",NO:hdd ; State:L1_Lost ; satellites:8,,25.1 km/h,25.1 km/h,22/01/2026 05:57:42,0 s,Yes,,,,Pending
BSE-825_EVO(9053657917),Storage Error,SERVOSA,Alarm End,21/01/2026 23:25:28,"0.0,0.0",21/01/2026 23:25:28,"0.0,0.0",NO:HDD ; State:L3_The disk cannot be mounted ; satellites:0,,0.0 km/h,0.0 km/h,21/01/2026 23:25:29,0 s,No,,,,Pending
CBM-780_EVO4(9053080813),Storage Error,EL PROGRESO,Alarm End,21/01/2026 23:25:16,"-78.828857,-7.195997",21/01/2026 23:25:16,"-78.828857,-7.195997",NO:hdd ; State:L3_Cannot overwrite ; satellites:9,,47.5 km/h,47.5 km/h,22/01/2026 00:06:45,0 s,Yes,,,,Pending
BPD-940_EVO4(9053067125),Storage Error,MULT. TRNSP. CAJAMARCA,Alarm End,21/01/2026 23:25:14,"-78.285835,-9.51287",21/01/2026 23:25:14,"-78.285835,-9.51287",NO:hdd ; State:L1_Damage ; satellites:10,,26.14 km/h,26.14 km/h,22/01/2026 05:57:41,0 s,Yes,,,,Pending
AZL-907_EVO4(6063458289),Storage Error,ACUARIO,Alarm End,21/01/2026 23:25:01,"-78.534027,-6.965112",21/01/2026 23:25:01,"-78.534027,-6.965112",NO:hdd ; State:L3_The disk cannot be mounted ; satellites:17,,0.0 km/h,0.0 km/h,21/01/2026 23:25:01,0 s,No,,,,Pending
M7Z-723_EVO4(8047425199),Storage Error,ACUARIO,Alarm End,21/01/2026 23:25:00,"-78.550484,-6.991553",21/01/2026 23:25:00,"-78.550484,-6.991553",NO:sd1 ; State:L1_Damage ; satellites:18,,0.0 km/h,0.0 km/h,21/01/2026 23:25:00,0 s,No,,,,Pending
CBM-780_EVO4(9053080813),Storage Error,EL PROGRESO,Alarm End,21/01/2026 23:24:20,"-78.831581,-7.202367",21/01/2026 23:24:20,"-78.831581,-7.202367",NO:hdd ; State:L1_Lost ; satellites:10,,58.36 km/h,58.36 km/h,21/01/2026 23:24:21,0 s,No,,,,Pending
CBM-780_EVO4(9053080813),Storage Error,EL PROGRESO,Alarm End,21/01/2026 23:24:05,"-78.832603,-7.204172",21/01/2026 23:24:05,"-78.832603,-7.204172",NO:sd1 ; State:L1_Lost ; satellites:10,,48.98 km/h,48.98 km/h,21/01/2026 23:24:06,0 s,No,,,,Pending
CBM-780_EVO4(9053080813),Storage Error,EL PROGRESO,Alarm End,21/01/2026 23:24:05,"-78.832603,-7.204172",21/01/2026 23:24:05,"-78.832603,-7.204172",NO:hdd ; State:L1_Lost ; satellites:10,,48.98 km/h,48.98 km/h,21/01/2026 23:24:06,0 s,No,,,,Pending
BPD-940_EVO4(9053067125),Storage Error,MULT. TRNSP. CAJAMARCA,Alarm End,21/01/2026 23:24:05,"-78.283989,-9.509367",21/01/2026 23:24:05,"-78.283989,-9.509367",NO:hdd ; State:L1_Damage ; satellites:8,,21.94 km/h,21.94 km/h,22/01/2026 05:57:41,0 s,Yes,,,,Pending
